2147	Acholeplasma	10511	1660	5
2157	Archaea	1624658	41731	607
2160	Methanobacterium	27445	3560	12
2172	Methanobrevibacter	32488	3120	19
2175	Methanohalophilus	12689	2210	7
2182	Methanococcales	33702	2808	22
2183	Methanococcaceae	17191	2228	11
2184	Methanococcus	14195	2049	9
2191	Methanomicrobiales	73620	5541	32
2194	Methanomicrobiaceae	46976	4263	21
2206	Methanosarcinaceae	107805	6319	41
2207	Methanosarcina	50314	5084	16
2208	Methanosarcina barkeri	5427	2665	2
2220	Methanolobus	20144	3292	8
2231	Archaeoglobales	10160	2279	6
2233	Archaeoglobus	6073	1807	4
2235	Halobacteriales	337747	12929	102
2236	Halobacteriaceae	147802	8757	19
2237	Haloarcula	44251	5014	13
2239	Halobacterium	20563	3762	8
2249	Halococcus	27868	4572	9
2251	Haloferax	54542	5556	16
2256	Natronobacterium	5384	2680	2
2259	Thermococcaceae	107670	4381	54
2260	Pyrococcus	12128	2186	7
2263	Thermococcus	90491	4180	45
2266	Thermoproteales	38571	4781	17
2267	Thermoproteaceae	33888	4203	17
2272	Desulfurococcaceae	14497	3065	11
2273	Desulfurococcus	2334	1165	2
2281	Sulfolobales	55351	4186	24
2284	Sulfolobus	11123	2660	5
2301	Thermoplasmatales	11507	2068	8
2307	Pyrodictiaceae	5596	1669	4
2335	Thermotoga	10467	2089	6
2433	Roseobacter	27208	4558	8
2742	Marinobacter	222267	9379	63
2745	Halomonas	367809	11883	104
2747	Carnobacterium	28552	3773	13
2759	Eukaryota	80663947	742015	5952
2763	Rhodophyta	53420	10810	10
2836	Bacillariophyta	136337	16913	11
3041	Chlorophyta	404034	33154	43
3166	Chlorophyceae	236805	24544	21
3193	Embryophyta	10755119	134310	365
3646	Malpighiales	575580	26401	22
3699	Brassicales	917345	44186	25
3744	Rosales	472957	26161	20
3745	Rosaceae	351037	25659	14
4069	Solanales	597850	30130	25
4085	Nicotiana	122330	28554	4
4143	Lamiales	517316	30247	20
4447	Liliopsida	1855860	49706	62
4751	Fungi	25284407	245298	2692
4761	Chytridiomycota	590995	37233	71
4762	Oomycota	792966	42790	53
4764	Saprolegniaceae	134563	20314	9
4783	Phytophthora	465648	32859	27
4827	Mucorales	641499	25553	57
4890	Ascomycota	15664972	105517	1641
4891	Saccharomycetes	1498852	11887	297
4893	Saccharomycetaceae	792169	5211	163
5042	Eurotiales	2466494	32116	229
5052	Aspergillus	1243490	26277	115
5073	Penicillium	1058190	25997	98
5125	Hypocreales	2941497	34855	251
5129	Hypocreaceae	287442	13918	29
5139	Sordariales	275469	18203	29
5178	Helotiales	955801	38223	81
5204	Basidiomycota	6242028	112679	575
5206	Cryptococcus	345053	8037	54
5257	Ustilaginomycetes	148590	7784	23
5303	Polyporales	619197	17818	62
5317	Polyporaceae	340742	18413	30
